Time (s),Reference Distance (mm),IR Sensor (V),Capacitive Sensor (V),Eddy Current Sensor (V),LED Sensor (V),Linear Potentiometer (V)
7.89999999999998,1.38,1.2582,8.4656,10.3342,7.0736,5.7516
7.94999999999998,1.4,1.2638,8.4378,10.3501,7.0714,5.7508
7.99999999999998,1.45,1.2555,8.4611,10.3222,7.0841,5.7217
8.04999999999998,1.47,1.2263,8.4679,10.3349,7.0705,5.7054
8.09999999999998,1.5,1.2541,8.424,10.356,7.0801,5.7095
8.14999999999998,1.51,1.3423,8.4709,10.3362,7.0841,5.6891
8.19999999999998,1.54,1.4046,8.5132,10.3322,7.0773,5.6766
8.24999999999998,1.58,1.4122,8.4697,10.3477,7.0593,5.6791
8.29999999999998,1.61,1.5168,8.4344,10.3512,7.0697,5.652
8.34999999999998,1.65,1.5367,8.5063,10.3828,7.0651,5.6465
8.39999999999998,1.68,1.5192,8.4875,10.3465,7.0833,5.6264
8.44999999999999,1.71,1.4862,8.5164,10.3587,7.0488,5.616
8.49999999999999,1.73,1.4993,8.4944,10.3363,7.071,5.6142
8.54999999999999,1.74,1.4988,8.5052,10.3496,7.0566,5.6284
8.59999999999999,1.76,1.5098,8.5219,10.3616,7.0715,5.6198
8.64999999999999,1.75,1.5044,8.5332,10.3394,7.0704,5.6259
8.69999999999999,1.75,1.5052,8.4169,10.3347,7.0643,5.6034
8.74999999999999,1.75,1.5023,8.4859,10.3369,7.0537,5.6291
8.79999999999999,1.75,1.5014,8.4789,10.3662,7.0634,5.6201
8.84999999999999,1.74,1.5113,8.4244,10.379,7.066,5.6178
8.89999999999999,1.76,1.5025,8.4604,10.3887,7.0696,5.6388
8.94999999999999,1.74,1.5071,8.4968,10.3656,7.0603,5.6113
9,1.75,1.5049,8.4812,10.3454,7.0734,5.6386
9.04999999999999,1.75,1.5048,8.5322,10.3851,7.061,5.6215
9.09999999999999,1.75,1.5027,8.5016,10.3521,7.0679,5.6217
9.15,1.75,1.5057,8.4646,10.3431,7.0603,5.6203
9.2,1.75,1.5086,8.4934,10.3462,7.0568,5.6204
9.25,1.74,1.5037,8.4378,10.3609,7.0803,5.6059
9.3,1.75,1.4996,8.5101,10.3824,7.0651,5.618
9.35,1.74,1.5051,8.4274,10.3771,7.0519,5.6037
9.4,1.75,1.5067,8.4368,10.3576,7.0577,5.6277
9.45,1.75,1.5043,8.5168,10.3642,7.0696,5.6154
9.5,1.74,1.5035,8.4995,10.3504,7.0521,5.6133
9.55,1.74,1.5041,8.498,10.36,7.0604,5.6227
9.6,1.75,1.5017,8.495,10.3331,7.0686,5.6184
9.65,1.75,1.5012,8.4821,10.3426,7.0724,5.6349
9.7,1.75,1.5003,8.4555,10.3632,7.0578,5.6167
9.75,1.75,1.4985,8.5041,10.3369,7.048,5.6397
9.8,1.75,1.4981,8.5101,10.3731,7.0609,5.64
9.85000000000001,1.75,1.4914,8.468,10.3567,7.0644,5.6222
9.90000000000001,1.76,1.4956,8.4163,10.3378,7.0471,5.6144
9.95000000000001,1.76,1.495,8.4928,10.3808,7.0746,5.6051
10,1.74,1.4949,8.4576,10.3497,7.0649,5.6259
10.05,1.74,1.4963,8.4491,10.3785,7.0661,5.6107
10.1,1.74,1.4909,8.4776,10.3541,7.0695,5.6254
10.15,1.75,1.495,8.4872,10.3656,7.0492,5.6184
10.2,1.74,1.4925,8.4924,10.3645,7.0769,5.6112
10.25,1.76,1.4909,8.5349,10.3537,7.0759,5.6344
10.3,1.76,1.4927,8.4851,10.3593,7.0568,5.6281
10.35,1.75,1.4919,8.448,10.3538,7.055,5.6262
10.4,1.75,1.4874,8.4711,10.3454,7.0709,5.61
10.45,1.75,1.4903,8.5157,10.339,7.0725,5.6353
10.5,1.76,1.4895,8.5024,10.3447,7.0582,5.6143
10.55,1.74,1.4904,8.4657,10.3639,7.0658,5.6081
10.6,1.75,1.4898,8.5133,10.3271,7.0629,5.6201
10.65,1.75,1.4886,8.4362,10.3313,7.0695,5.6125
10.7,1.75,1.4908,8.4891,10.3725,7.0842,5.6167
10.75,1.75,1.4905,8.4282,10.3795,7.0809,5.6183
10.8,1.75,1.4893,8.4479,10.3622,7.0475,5.6212
10.85,1.76,1.4869,8.4601,10.3442,7.0723,5.6074
10.9,1.75,1.4877,8.447,10.3651,7.0564,5.6259
10.95,1.75,1.4817,8.5102,10.3521,7.0532,5.6171
11,1.76,1.4869,8.4581,10.3674,7.0549,5.6311
11.05,1.75,1.4873,8.4541,10.33,7.0557,5.6233
11.1,1.74,1.4839,8.4519,10.3595,7.0682,5.6173
11.15,1.75,1.482,8.5088,10.3587,7.0757,5.6295
11.2,1.76,1.4831,8.4923,10.3635,7.0653,5.6296
11.25,1.76,1.487,8.5096,10.36,7.0587,5.6175
11.3,1.74,1.4894,8.517,10.375,7.0672,5.6322
11.35,1.74,1.4859,8.5201,10.3388,7.074,5.6248
11.4,1.75,1.4863,8.4474,10.3563,7.0549,5.635
11.45,1.75,1.4831,8.5089,10.3517,7.0491,5.6269
11.5,1.76,1.4831,8.4166,10.3436,7.075,5.6317
11.55,1.75,1.4877,8.4884,10.3801,7.0452,5.6313
11.6,1.75,1.4839,8.4632,10.3481,7.0678,5.6297
11.65,1.75,1.4898,8.4294,10.3861,7.0619,5.6189
11.7,1.75,1.4881,8.5195,10.341,7.0669,5.6234
11.75,1.75,1.4881,8.4261,10.348,7.0582,5.6146
11.8,1.75,1.4876,8.4807,10.3532,7.0633,5.6287
11.85,1.74,1.4899,8.4625,10.3648,7.058,5.633
11.9,1.74,1.486,8.4169,10.3873,7.0478,5.6368
11.95,1.75,1.4893,8.4841,10.3421,7.0583,5.6159
12,1.76,1.4921,8.4801,10.3762,7.0592,5.6278
12.05,1.74,1.4861,8.4543,10.369,7.0672,5.6304
12.1,1.74,1.4851,8.4957,10.37,7.0569,5.6044
12.15,1.76,1.4874,8.4588,10.3619,7.0651,5.6129
12.2,1.74,1.4873,8.4554,10.3624,7.074,5.6221
12.25,1.76,1.487,8.4615,10.3428,7.0669,5.6234
12.3,1.74,1.4863,8.5001,10.3696,7.075,5.62
12.35,1.76,1.4853,8.5012,10.3871,7.0598,5.6128
12.4,1.75,1.4858,8.5008,10.3666,7.0633,5.6279
12.45,1.74,1.4864,8.4272,10.3775,7.0569,5.635
12.5,1.75,1.4824,8.498,10.3538,7.0582,5.6325
12.55,1.75,1.4888,8.4742,10.3569,7.0537,5.6293
12.6,1.75,1.4895,8.495,10.3643,7.0476,5.6164
12.65,1.75,1.4827,8.4597,10.3467,7.0493,5.6238
12.7000000000001,1.74,1.4867,8.4349,10.3795,7.0791,5.6089
12.7500000000001,1.75,1.4843,8.4911,10.334,7.0581,5.6203
12.8000000000001,1.75,1.4879,8.5257,10.3536,7.057,5.6058
12.8500000000001,1.76,1.4849,8.4169,10.3839,7.0699,5.6208
12.9000000000001,1.76,1.4901,8.4672,10.3515,7.0816,5.6295
12.9500000000001,1.76,1.487,8.4166,10.3405,7.0728,5.6155
13.0000000000001,1.76,1.4838,8.4863,10.3319,7.0699,5.6217
13.0500000000001,1.76,1.4867,8.486,10.3412,7.0727,5.6141
13.1000000000001,1.75,1.4823,8.4832,10.3826,7.0724,5.611
13.1500000000001,1.74,1.4843,8.5376,10.3737,7.0585,5.6255
13.2000000000001,1.75,1.4816,8.4874,10.3702,7.0501,5.634
13.2500000000001,1.75,1.4904,8.4307,10.3464,7.0759,5.6089
13.3000000000001,1.76,1.4854,8.4671,10.3592,7.0581,5.629
13.35,1.75,1.4882,8.4759,10.3679,7.0668,5.6205
13.4000000000001,1.75,1.4807,8.4693,10.3782,7.0615,5.6178
13.4500000000001,1.75,1.4864,8.4664,10.3511,7.071,5.6162
13.5000000000001,1.75,1.4786,8.4477,10.3577,7.0583,5.6188
13.5500000000001,1.75,1.4864,8.5134,10.354,7.0499,5.6296
13.6000000000001,1.74,1.4875,8.4846,10.3537,7.0592,5.6114
13.6500000000001,1.75,1.4809,8.5352,10.3373,7.0674,5.613
13.7000000000001,1.76,1.4847,8.4166,10.3616,7.0684,5.6133
13.7500000000001,1.76,1.4702,8.4803,10.3659,7.0734,5.5991
13.8000000000001,1.8,1.4293,8.4557,10.3702,7.0713,5.5878
13.8500000000001,1.83,1.4093,8.4552,10.3726,7.0606,5.5808
13.9000000000001,1.86,1.4646,8.5064,10.3752,7.0343,5.5653
13.9500000000001,1.89,1.5002,8.4841,10.3649,7.0464,5.5672
14.0000000000001,1.92,1.5785,8.4754,10.3603,7.0362,5.5564
14.0500000000001,1.94,1.5671,8.4478,10.3814,7.0258,5.5296
14.1000000000001,1.98,1.5651,8.4593,10.3518,7.0283,5.5179
14.1500000000001,2.02,1.5697,8.4557,10.3931,7.0465,5.491
14.2000000000001,2.04,1.6137,8.4622,10.4153,7.0294,5.5092
14.2500000000001,2.08,1.6261,8.4585,10.4029,7.048,5.4853
14.3000000000001,2.12,1.6915,8.4166,10.3738,7.0394,5.4796
14.3500000000001,2.14,1.6468,8.4657,10.3727,7.0121,5.4362
14.4000000000001,2.19,1.6304,8.502,10.4155,7.0255,5.4505
14.4500000000001,2.22,1.6525,8.5155,10.3951,7.0231,5.4289
14.5000000000001,2.26,1.5728,8.4308,10.4247,7.0233,5.4172
14.5500000000001,2.29,1.5432,8.5355,10.4266,6.9959,5.4162
14.6000000000001,2.32,1.5864,8.4427,10.4199,6.9951,5.3773
14.6500000000001,2.34,1.6678,8.434,10.4248,6.9953,5.3672
14.7000000000001,2.4,1.7271,8.416,10.3827,6.9936,5.3503
14.7500000000001,2.45,1.7244,8.4353,10.4259,6.9901,5.3413
14.8000000000001,2.46,1.6801,8.455,10.4241,6.9756,5.3322
14.8500000000001,2.5,1.7178,8.4737,10.4098,6.9954,5.3181
14.9000000000001,2.53,1.6889,8.4444,10.4617,6.9905,5.2972
14.9500000000001,2.57,1.5612,8.4573,10.4726,6.977,5.2899
15.0000000000001,2.62,1.506,8.474,10.4408,6.9695,5.2609
15.0500000000001,2.65,1.4964,8.4937,10.4347,6.9865,5.2684
15.1000000000001,2.69,1.5857,8.4622,10.4135,7.0137,5.2512
15.1500000000001,2.72,1.6277,8.4681,10.4141,7.006,5.2264
15.2000000000001,2.76,1.603,8.5105,10.4163,7.0079,5.2351
15.2500000000001,2.79,1.5657,8.4883,10.4401,6.9961,5.2287
15.3000000000001,2.82,1.5651,8.4838,10.4764,6.97,5.2032
15.3500000000001,2.81,1.5623,8.4544,10.4842,6.9865,5.2053
15.4000000000001,2.81,1.5648,8.4611,10.4559,6.9877,5.2038
15.4500000000001,2.82,1.5648,8.5326,10.4234,6.9665,5.2149
15.5000000000001,2.81,1.5678,8.4844,10.4744,6.9797,5.2201
15.5500000000001,2.8,1.5641,8.4325,10.4238,6.9936,5.2105
15.6000000000001,2.79,1.5671,8.4715,10.4732,6.969,5.2124
15.6500000000001,2.81,1.5644,8.4924,10.4927,6.987,5.2049
15.7000000000001,2.81,1.5632,8.4848,10.4685,6.9616,5.209
15.7500000000001,2.81,1.5689,8.4702,10.4757,6.9829,5.2109
15.8000000000001,2.81,1.5666,8.4719,10.5046,6.9716,5.2096
15.8500000000001,2.8,1.5649,8.4673,10.4662,6.9869,5.21
15.9000000000001,2.8,1.5611,8.4729,10.5059,6.9905,5.2281
15.9500000000001,2.82,1.5681,8.4933,10.4711,6.984,5.2057
16.0000000000001,2.82,1.5694,8.4919,10.4212,6.9615,5.2156
16.0500000000001,2.82,1.5666,8.4681,10.4635,6.9978,5.2122
16.1000000000001,2.8,1.5682,8.4809,10.4733,6.9765,5.2128
16.1500000000001,2.82,1.5613,8.4638,10.4554,6.9747,5.2164
16.2000000000001,2.82,1.5628,8.4166,10.4533,6.986,5.2125
16.2500000000001,2.81,1.5622,8.5178,10.4663,6.9944,5.2195
16.3000000000001,2.81,1.5627,8.4346,10.4599,6.9881,5.2116
16.3500000000001,2.81,1.5689,8.4683,10.4502,6.9958,5.2231
16.4000000000001,2.8,1.5703,8.4594,10.4746,6.9794,5.2089
16.4500000000001,2.8,1.5655,8.4449,10.4751,6.9866,5.2254
16.5000000000001,2.82,1.5634,8.4169,10.4564,6.9782,5.2137
16.5500000000001,2.81,1.5689,8.4484,10.453,6.9919,5.2005
16.6000000000001,2.8,1.5683,8.497,10.4839,6.9784,5.2143
16.6500000000001,2.83,1.5661,8.4764,10.4219,6.9698,5.2158
16.7000000000001,2.81,1.5672,8.4767,10.4233,6.9797,5.2149
16.7500000000001,2.81,1.5682,8.4269,10.4847,6.994,5.2218
16.8000000000001,2.81,1.566,8.5071,10.5042,6.9873,5.2087
16.8500000000001,2.82,1.5666,8.4782,10.4899,6.962,5.2042
16.9000000000001,2.8,1.5638,8.4596,10.4712,6.9921,5.2101
16.9500000000001,2.8,1.5676,8.4511,10.4218,6.9836,5.2072
17.0000000000001,2.82,1.5628,8.4661,10.4677,6.9713,5.2034
17.0500000000001,2.82,1.5667,8.5337,10.4898,6.9924,5.2206
17.1000000000001,2.81,1.567,8.4875,10.4421,6.9871,5.2163
17.1500000000001,2.82,1.5688,8.536,10.4642,6.9872,5.2124
17.2000000000001,2.81,1.5657,8.5098,10.4683,6.9792,5.2166
17.2500000000001,2.8,1.564,8.4615,10.4718,6.9798,5.2066
17.3000000000001,2.8,1.5687,8.4531,10.4296,6.9811,5.2221
17.3500000000001,2.8,1.5719,8.4759,10.5049,6.974,5.2065
17.4000000000001,2.81,1.5657,8.4637,10.4551,6.9848,5.215
17.4500000000001,2.81,1.5672,8.4766,10.4427,6.9834,5.2166
17.5000000000001,2.8,1.5606,8.4698,10.4863,6.9822,5.2196
17.5500000000001,2.8,1.5697,8.4888,10.436,6.9634,5.1967
17.6000000000001,2.8,1.5681,8.527,10.4284,7.0008,5.2065
17.6500000000001,2.81,1.5667,8.4774,10.4348,6.9809,5.2041
17.7000000000001,2.82,1.5685,8.4909,10.4708,6.9856,5.2173
17.7500000000001,2.8,1.5647,8.4923,10.4597,6.9891,5.2221
17.8000000000001,2.81,1.5704,8.4528,10.4623,6.9832,5.2077
17.8500000000001,2.81,1.5653,8.529,10.4499,6.9658,5.2148
17.9000000000001,2.8,1.5698,8.5007,10.4591,6.9868,5.213
17.9500000000001,2.81,1.5669,8.4852,10.4289,6.9971,5.2186
18.0000000000001,2.81,1.5681,8.4558,10.4672,6.9843,5.206
18.0500000000001,2.8,1.5707,8.4568,10.4886,6.9899,5.228
18.1000000000001,2.8,1.5671,8.4431,10.4605,6.9826,5.2246
18.1500000000001,2.8,1.5717,8.4688,10.4846,6.9907,5.229
18.2000000000001,2.8,1.5657,8.5013,10.4294,6.9899,5.2135
18.2500000000001,2.81,1.5669,8.5111,10.4754,6.966,5.2073
18.3000000000001,2.81,1.5688,8.4931,10.4794,6.9871,5.2284
18.3500000000001,2.81,1.5654,8.4637,10.442,6.9767,5.2169
18.4000000000001,2.81,1.5616,8.4774,10.4373,6.9734,5.197
18.4500000000001,2.81,1.5681,8.5149,10.4292,6.9796,5.2195
18.5000000000001,2.81,1.5658,8.4662,10.4531,6.9822,5.223
18.5500000000001,2.82,1.5677,8.4714,10.5039,6.9838,5.2254
18.6000000000001,2.83,1.5655,8.4708,10.4587,6.98,5.2218
18.6500000000001,2.8,1.5631,8.4928,10.4279,6.9816,5.2132
18.7000000000001,2.81,1.5666,8.4275,10.4624,6.9807,5.2037
18.7500000000001,2.81,1.5603,8.4381,10.4492,6.9865,5.1988
18.8000000000001,2.82,1.5673,8.4759,10.4751,6.9756,5.2061
18.8500000000001,2.81,1.5627,8.4538,10.4812,6.9836,5.2057
18.9000000000001,2.82,1.561,8.4184,10.4832,6.9733,5.1976
18.9500000000001,2.81,1.568,8.496,10.4193,6.9879,5.2148
19.0000000000001,2.81,1.5676,8.5018,10.4515,6.9932,5.2191
19.0500000000001,2.81,1.5632,8.4487,10.5033,6.9688,5.2143
19.1000000000001,2.8,1.5651,8.4996,10.4659,6.9846,5.2088
19.1500000000001,2.81,1.5656,8.4729,10.4484,6.9754,5.2068
19.2000000000001,2.8,1.5632,8.4641,10.4721,6.9829,5.216
19.2500000000001,2.81,1.5697,8.4503,10.4909,6.9794,5.2126
19.3000000000001,2.82,1.571,8.4997,10.4755,6.9882,5.197
19.3500000000001,2.83,1.5657,8.4739,10.4583,6.9856,5.2112
19.4000000000001,2.81,1.5671,8.49,10.4602,6.9646,5.2212
19.4500000000001,2.81,1.5694,8.4489,10.4189,6.997,5.2183
19.5000000000001,2.81,1.5648,8.4748,10.4582,6.9741,5.2053
19.5500000000001,2.82,1.5671,8.5037,10.4399,6.9608,5.222
19.6000000000001,2.81,1.5688,8.4683,10.4837,6.991,5.2214
19.6500000000001,2.82,1.5613,8.4356,10.4748,6.9786,5.2216
19.7000000000001,2.81,1.5661,8.4923,10.4489,6.9737,5.2172
19.7500000000002,2.82,1.5647,8.4551,10.4266,6.969,5.2082
19.8000000000002,2.82,1.5707,8.4685,10.4594,6.9836,5.2283
